object,blurLevel,exposureLevel,noiseLevel,chamferDistance,F0.05,F0.075,F0.1
burrito,none,none,none,0.09051387012004852,0.07851120084524155,0.15342898666858673,0.24128906428813934
burrito,low,none,none,0.06970508396625519,0.08058347553014755,0.1523977369070053,0.20931531488895416
burrito,high,none,none,0.0727953165769577,0.07189690321683884,0.124601811170578,0.1767016053199768
burrito,none,none,low,0.03699116408824921,0.18037226796150208,0.3455394208431244,0.50678950548172
burrito,none,none,high,0.04286126047372818,0.1349223256111145,0.2918381989002228,0.4521245062351227
burrito,none,low,none,0.07503817975521088,0.11755604296922684,0.20473907887935638,0.2873650789260864
burrito,none,high,none,0.08484053611755371,0.059060320258140564,0.12054477632045746,0.1958419233560562
fork,none,none,none,0.4751715064048767,0.034245867282152176,0.05884021520614624,0.08993303775787354
fork,low,none,none,0.30922114849090576,0.09095732122659683,0.13617056608200073,0.17778190970420837
fork,high,none,none,0.3821207880973816,0.07862197607755661,0.11425735056400299,0.14978766441345215
fork,none,none,low,0.442354679107666,0.021848516538739204,0.050392959266901016,0.08934096246957779
fork,none,none,high,0.32359787821769714,0.05855384096503258,0.10295739024877548,0.1591920405626297
fork,none,low,none,0.5136903524398804,0.041637521237134933,0.06329257041215897,0.09087429940700531
fork,none,high,none,0.7296776175498962,0.016271894797682762,0.024605480954051018,0.026212217286229134
rubik_cube,none,none,none,0.03992599993944168,0.12782558798789978,0.2867836654186249,0.45631295442581177
rubik_cube,low,none,none,0.050567883998155594,0.1018982008099556,0.22706395387649536,0.36021706461906433
rubik_cube,high,none,none,0.09004834294319153,0.06520507484674454,0.14783653616905212,0.22958694398403168
rubik_cube,none,none,low,0.047897063195705414,0.1038832738995552,0.24413332343101501,0.3998139202594757
rubik_cube,none,none,high,0.0494767501950264,0.1069469079375267,0.23078662157058716,0.3747495114803314
rubik_cube,none,low,none,0.050011180341243744,0.11292512714862823,0.26059237122535706,0.411864697933197
rubik_cube,none,high,none,0.06391884386539459,0.1028904914855957,0.22879746556282043,0.3527567982673645
